"NR_ALBUMU","NAZWISKO","IMIE","WIEK","NR_GR"
1000,"Widara","Mikolaj ",28,17
1001,"Trochmiuk","Borzuj",22,10
1002,"Dostalek","Ola",24,11
1003,"Samandyk","Romek",29,30
1004,"Krowicz","Ramona",25,2
1005,"Brosig","Marzena ",26,6
1006,"Sokolanko","Aleksy",27,26
1007,"Regent","Julia ",23,22
1008,"Slowko","Drogodziej",20,6
1009,"Zelazczyk","Czedrog ",27,9
1010,"Gesich","Hugo ",28,16
1011,"Zlotosz","Emilka",27,4
1012,"Awdoszko","Heloiza ",20,23
1013,"Mirnowska","Emilian ",25,29
1014,"Kleczner","Flawian",29,11
1015,"Polasik","Bogna",25,6
1016,"Skwarra","Enniusz ",27,27
1017,"Wlodarczyk","Stanislaw",22,29
1018,"Skowron-Knapik","Cezaryna",28,32
1019,"Tutka","Florenty ",22,21
1020,"Tybaczek","Cyra ",29,4
1021,"Pasberg","Arnold ",27,22
1022,"Kadzielana","Cezar",25,11
1023,"Polzon","Marina ",23,23
1024,"Dibrach","Cyra ",20,20
1025,"Kobier","Pamelka",20,34
1026,"Felenczuk","Borys",21,6
1027,"Strantz","Domicela ",24,6
1028,"Szufryn","Wawrzyniec",23,33
1029,"Eliner","Ostrobod",20,2
1030,"Hupaszek","Dobiemir ",22,10
1031,"Brezyk","Frumencjusz ",24,25
1032,"Minsberg","Norma ",29,12
1033,"Bomburski","Gajusz",22,7
1034,"Smiger","Edyta",25,27
1035,"Bartorzewska","Nienach ",25,22
1036,"Zietarz","Olimpia",24,11
1037,"Starynka","Fidelis ",20,14
1038,"Ignatowski","Sydoniusz",29,33
1039,"Malniczyn","Gniewomir ",28,17
1040,"Duchnowicz","Benita",22,29
1041,"Kostaniak","Wiwianna",20,35
1042,"Cyganow","Hortensjusz ",23,28
1043,"Kaduszko","Wiktor",29,33
1044,"Baltaki","Alwin",22,34
1045,"Sawasciuk","Jerzy",20,32
1046,"Chrapa","Michal",26,31
1047,"Galuschka","Aurelia ",24,28
1048,"Ozikowska","Artur",20,24
1049,"Mlodzieniak","Arnold ",20,33
1050,"Jukniewicz","Laurenty ",22,27
1051,"Kodenik","Borys",28,22
1052,"Krawska","Czesbor ",25,27
1053,"Obierzalek","Konstantyn ",29,2
1054,"Murawicz","Gerazym ",28,32
1055,"Grzezulko","Slawobora",22,27
1056,"Koscina","Emilia ",26,8
1057,"Bramos","Lucjan",23,10
1058,"Rzepanowski","Romek",26,10
1059,"Wyruszynski","Aga",24,4
1060,"Polacarz","Dominika ",29,6
1061,"Machlit","Olka",21,12
1062,"Teterowicz","Danka",21,21
1063,"Nieczyponik","Dobroniega ",26,8
1064,"Buklowski","Stefan",26,9
1065,"Dowalla","Zuza",25,11
1066,"Seda","Krzesimir ",27,28
1067,"Klusznik","Manswet ",28,29
1068,"Bazylik","Walentyn",28,16
1069,"Szatyn","Lucjol ",22,22
1070,"Tarbaj","Emiliana ",22,33
1071,"Golcz","Oswalda",20,32
