1000,"Drysielska","Zachary",27
1001,"Gebusia","Gliceria",22
1002,"Zadwarny","Ludomira",23
1003,"Ekonom","Odyseusz",20
1004,"Sobecinski","Bazyliusz",25
1005,"Putonowicz","Marcjusz",28
1006,"Raniewski","Miestwin",25
1007,"Dziecialowski","Noemi",28
1008,"Szucien","Msciwuj",24
1009,"Kazub","Gerazym",21
1010,"Kopernas","Mati",21
1011,"Kemitz","Sybilla",28
1012,"Jezier","Krzys",20
1013,"Gawlek","Chocieslaw",21
1014,"Tworke","Izaak",28
1015,"Pitruczak","Falislawa",23
1016,"Kurnatowski","Konradyna",23
1017,"Rehmus","Juda",23
1018,"Senajko","Demetria",25
1019,"Zadrozna","Brunon",28
1020,"Poklonski","Bonawentura",27
1021,"Danner","Marcelian",22
1022,"Badziadowski","Jeroslawa",28
1023,"Goldzik","Marcjal",27
1024,"Kazimor","Longin",25
1025,"Rubciak","Oliwer",27
1026,"Sliperski","Czabor",20
1027,"Pracikowska","Joanna",27
1028,"Berbiec","Hubyslawa",23
1029,"Harasymiec","Florentyna",25
1030,"Katuszniak","Gracja",27
1031,"Fahrentz","Apolonia",29
1032,"Pierszkala","Klementyn",24
1033,"Szubrych","Cibor",24
1034,"Korzycki","Jeroslawa",28
1035,"Tryburcy","Baldwin",26
1036,"Szmierek","Maciek",24
1037,"Pradaszczuk","Nieprasz",27
1038,"Klejmion","Lilian",22
1039,"Kalendo","Hubyslawa",25
1040,"Sawascianiak","Sydonia",22
1041,"Cierzan","Aurelian",26
1042,"Melechowska","Jozefat",25
1043,"Hufnegel","Marcjal",21
1044,"Chorwacik","Apollonia",23
1045,"Slobuszewska","Kasjan",29
1046,"Lawa","Ryszard",22
1047,"Cichoracki","Dalibor",26
1048,"Bregos","Manomir",28
1049,"Nizecki","Aurelian",24
1050,"Oplotowicz","Oliwia",27
1051,"Kakorudz","Cezaryna",28
1052,"Eilmers","Tadek",27
1053,"Raschke","Namir",28
1054,"Kostogryz","Matron",29
1055,"Chrapan","Leonia",21
1056,"Dojlidko","Dobieslaw",25
1057,"Chliborob","Maurycy",24
1058,"Nagajewicz","Augustyna",27
1059,"Plowuszynski","Witomir",29
1060,"Wirnicka","Hodyslaw",26
1061,"Korzekwinski","Fryderyk",23
1062,"Szoblik","Nadar",23
1063,"Pazula","Hugon",23
1064,"Jozefski","Fabian",22
1065,"Palazewicz","Ewelinka",26
1066,"Piotraschke","Orchidea",23
1067,"Jaknik","Manswet",22
1068,"Wolag","Nadar",26
1069,"Knykala","Blizbor",28
1070,"Kallewicz","Sydoniusz",23
1071,"Skrzypca","Natalia",21
1072,"Galaska","Leon",24
1073,"Kaprian","Lucjusz",22
1074,"Freliszek","Gienek",25
1075,"Szleniecki","Gaudencja",20
1076,"Jendczuk","Lolita",21
1077,"Kiwal","Dobromysl",29
1078,"Kruko","Dalwin",23
1079,"Ceronek","Cieslaw",24
1080,"Gurka","Zdzisek",22
1081,"Gardzian","Innocenty",27
1082,"Myszklewicz","Arkadiusz",25
1083,"Kolaniec","Dalibor",22
1084,"Jacmirski","Chryzant",29
1085,"Sopott","Natalia",24
1086,"Wyzysk","Maja",29
1087,"Drozdzenski","Bozymir",22
1088,"Gliniewski","Osiebor",26
1089,"Strumph","Marita",21
1090,"Smieschek","Fausta",24
1091,"Ziemnowodzka","Borys",29
1092,"Roranska","Zbigniew",27
1093,"Gogoc","Arnulf",23
1094,"Ciululko","Cyriak",24
1095,"Nicow","Leopoldyna",21
1096,"Bryjewski","Krzys",20
