"NR_ALBUMU","NAZWISKO","IMIE","WIEK","NR_GR","NAZWA_GR"
2693,"Nikiforow","Jas",23,23,"3ID11A"
2694,"Zyszczewska","Radomila",25,8,"1ID14B"
2695,"Rai","Chryzant ",29,7,"1ID14A"
2696,"Retterski","Izka",28,16,"2ID12B"
2697,"Daledka","Serwacy",25,29,"3ID14A"
2698,"Siemionka","Roma",25,10,"1ID15B"
2699,"Balwan","Ksawery ",25,16,"2ID12B"
2700,"Bazylok","Ninogniew ",29,2,"1ID11B"
2701,"Borzdzilowski","Marysia",27,12,"1ID16B"
2702,"Chwiolka","Julian ",20,25,"3ID12A"
2703,"Pazukiewicz","Naslawa ",20,16,"2ID12B"
2704,"Wlodzisz","Izydora",22,5,"1ID13A"
2705,"Szymianiec","Domicela ",29,13,"2ID11A"
2706,"Kretok","Przemysl",27,10,"1ID15B"
2707,"Wojcienga","Emeryk ",20,18,"2ID13B"
2708,"Stoporczyk","Ewa",27,18,"2ID13B"
2709,"Smolarz","Dina ",28,7,"1ID14A"
2710,"Dowidczyk","Jacenty ",24,21,"2ID15A"
2711,"Madczewski","Salwator",27,2,"1ID11B"
2712,"Gehermann","Florencjusz ",25,19,"2ID14A"
2713,"Kreczetowski","Chociebor",21,30,"3ID14B"
2714,"Plociak","Amon",23,30,"3ID14B"
2715,"Kimczak","Jola",23,20,"2ID14B"
2716,"Saniewski","Baldwin",29,21,"2ID15A"
2717,"Seweluk","Leon ",23,14,"2ID11B"
2718,"Hawalko","Tobiasz",28,2,"1ID11B"
2719,"Rybka-Zabawski","Ludwik",23,3,"1ID12A"
2720,"Tsirbe","Otylia",24,17,"2ID13A"
2721,"Jacimek","Radmir",26,13,"2ID11A"
2722,"Arcinczyk","Malina ",20,9,"1ID15A"
2723,"Zbojnowicz","Ludwik",22,21,"2ID15A"
2724,"Foolen","Laurka",26,7,"1ID14A"
2725,"Sochon","Cieszymysl ",22,10,"1ID15B"
2726,"Zoworka","Gardomir",21,20,"2ID14B"
2727,"Kozielczyk","Nestor ",26,4,"1ID12B"
2728,"Ballarin","Beatka",20,33,"4ID12A"
2729,"Bailey","Sydoniusz",22,13,"2ID11A"
2730,"Slusalek","Gotard ",26,12,"1ID16B"
2731,"Kredyska","Armand",28,6,"1ID13B"
2732,"Horgiel","Aleks",26,22,"2ID15B"
2733,"Lieske","Nastazja ",24,17,"2ID13A"
2734,"Chacas","Ziemek",26,23,"3ID11A"
2735,"Wieremijewicz","Konradyna ",29,2,"1ID11B"
2736,"KsiaZe","Jurek",22,26,"3ID12B"
2737,"Sobalkowski","Cieslawa ",29,6,"1ID13B"
2738,"Zdyrko","Raisa",24,34,"4ID12B"
